advertiser_id,average_revenue
2644,0.1
2638,0.0
2635,0.0
2637,0.0
16,0.2
139,0.0
2640,0.0
96,0.0
2646,0.0
88,0.0
2089,0.0
8,0.1
84,0.0
97,0.0
2641,0.0
2636,0.0
90,0.0
2634,0.1
79,0.1
2642,0.0
2639,0.0
2645,0.0
2643,0.0
